"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"Foundations and Trends in Machine Learning","108.5","99.0%
1/407
Software","1736","16","94","24.122","37.044","Now Publishers Inc"
"International Journal of Information Management","53.1","99.0%
1/395
Computer Networks and Communications","28245","532","98","5.825","5.775","Elsevier"
"AI Open","45","99.0%
2/817
Computer Science Applications","2880","64","67","12.137","8.119","KeAi Communications Co."
"Nature Machine Intelligence","36.9","99.0%
2/395
Computer Networks and Communications","15697","425","85","5.702","5.94","Springer Nature"
"Transactions of the Association for Computational Linguistics","32.6","99.0%
1/1167
Linguistics and Language","10724","329","84","5.992","4.006","MIT Press"
"Science Robotics","30.6","99.0%
1/130
Control and Optimization","9480","310","81","5.277","6.601","American Association for the Advancement of Science"
"International Journal of Computer Vision","29.8","98.0%
6/407
Software","18304","614","84","5.342","6.668","Springer Nature"
"IEEE Transactions on Pattern Analysis and Machine Intelligence","28.4","99.0%
1/635
Applied Mathematics","62415","2200","85","6.47","6.158","IEEE"
"Annual Review of Control, Robotics, and Autonomous Systems","28.3","99.0%
1/321
Control and Systems Engineering","2489","88","99","6.606","4.633","Annual Reviews Inc."
"IEEE Transactions on Neural Networks and Learning Systems","23.8","99.0%
4/395
Computer Networks and Communications","56948","2392","97","3.995","4.17","IEEE"
"IEEE/CAA Journal of Automatica Sinica","23.5","98.0%
2/130
Control and Optimization","14437","615","90","3.474","4.696","IEEE"
"International Journal of Robotics Research","22.2","99.0%
1/324
Modeling and Simulation","5921","267","84","3.927","4.346","SAGE"
"Artificial Intelligence Review","22","99.0%
1/1088
Language and Linguistics","20539","935","86","5.068","3.26","Springer Nature"
"Artificial Intelligence in Agriculture","21.6","99.0%
1/221
General Agricultural and Biological Sciences","2248","104","88","3.292","1.453","KeAi Communications Co."
"Big Data Mining and Analytics","20.9","98.0%
6/395
Computer Networks and Communications","2364","113","89","3.373","1.933","Tsinghua University Press"
"IEEE Transactions on Fuzzy Systems","20.5","99.0%
4/635
Applied Mathematics","28942","1410","91","2.67","4.204","IEEE"
"Physics of Life Reviews","20.3","98.0%
3/221
General Agricultural and Biological Sciences","1016","50","96","2.312","1.72","Elsevier"
"Journal of Intelligent Manufacturing","19.3","97.0%
12/384
Industrial and Manufacturing Engineering","11053","573","95","3.088","2.071","Springer Nature"
"International Journal of Information Management Data Insights","19.2","99.0%
3/280
Library and Information Sciences","3869","201","93","3.295","2.137","Elsevier"
"Journal of Machine Learning Research","18.8","99.0%
1/278
Statistics and Probability","16784","895","87","4.031","2.796","Microtome Publishing"
"Synthesis Lectures on Artificial Intelligence and Machine Learning","17.9","94.0%
21/350
Artificial Intelligence","823","46","20","24.336","9.129","Springer Nature"
"Computational Visual Media","16.9","96.0%
4/106
Computer Graphics and Computer-Aided Design","2771","164","76","4.462","4.608","IEEE"
"Computers and Education: Artificial Intelligence","16.8","99.0%
11/1543
Education","3080","183","80","5.369","3.227","Elsevier"
"Energy and AI","16.5","96.0%
7/204
Engineering (miscellaneous)","4254","258","89","2.291","2.16","Elsevier"
"Radiology: Artificial Intelligence","16.2","98.0%
6/333
Radiology, Nuclear Medicine and Imaging","3366","208","93","2.585","2.602","Radiological Society of North America Inc."
"Computational Linguistics","15.8","99.0%
4/1088
Language and Linguistics","1645","104","85","3.771","1.367","MIT Press"
"IEEE Transactions on Cognitive Communications and Networking","15.5","96.0%
14/395
Computer Networks and Communications","7045","454","86","2.211","3.371","IEEE"
"Soft Robotics","15.5","97.0%
4/152
Biophysics","4976","321","88","2.555","2.43","Mary Ann Liebert"
"Artificial Intelligence in Medicine","15","96.0%
5/138
Health Informatics","9114","609","83","2.189","1.723","Elsevier"
"Engineered Science","14.9","98.0%
10/635
Applied Mathematics","5329","358","79","1.254","0.87","Engineered Science Publisher"
"Knowledge-Based Systems","14.8","94.0%
8/148
Information Systems and Management","55377","3733","86","2.226","2.219","Elsevier"
"IEEE Computational Intelligence Magazine","14.5","96.0%
5/130
Theoretical Computer Science","1554","107","71","2.72","2.085","IEEE"
"Pattern Recognition","14.4","93.0%
9/131
Signal Processing","34072","2366","88","2.707","2.732","Elsevier"
"Information Sciences","14","95.0%
6/130
Theoretical Computer Science","68717","4902","88","2.111","2.238","Elsevier"
